text,true_emotion,predicted_emotion
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. ,anger,sadness
The rage has died down.,anger,anger
For the first time in my madden career I just set up a farm account. Should make MOTM much easier,anger,joy
Ok scrubbed hands 5 times before trying to put them in.\nEyeballs #burning \n#EvenMoreBlind accidentally scared the #cat whilst #screeching,anger,fear
"@CozanGaming that's what lisa asked before she started raging at me, 'can I call you?' heh",anger,anger
@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid #bitter #hypocrisy,anger,anger
"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",anger,sadness
Sting is just too damn earnest for early morning listening. ,anger,sadness
@TrussElise Obama must be fuming.. lol,anger,anger
Eat my ass' is no longer an insult,anger,anger
"@DxfyingGrxvity - frustration, looking up at Elphaba in a frown of aggravation. Her high pitched voice was growing more and more --",anger,anger
@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger,anger
@pbhushan1 @IndianExpress so in your opinion is this the worst delhi govt? #acrid  #hypocrisy,anger,anger
Might just leave and aggravate bae,anger,anger
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",anger,joy
My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.,anger,anger
Hate when guys cant control their anger 🙃🙃,anger,anger
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. #fuming,anger,anger
It's the most magical time of the year......Xmas party announced and the #outrage commences. Gotta love Silicon Valley millennials.,anger,anger
S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait🙃,anger,anger
"If i start growing out my mustache now, I can be Pablo Escobar for Halloween!!!",fear,joy
There goes the butterflies in my stomach. #nervous #anxietyproblems,fear,fear
Not the best horror ever but I like that the uncertainty,fear,fear
T5ylw ansh a79l shy 7lw mn wayed nas fe whatsapp,fear,joy
